coefficient	gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
training_status	Cpn1	2.5602299092532035	-3.716051520705431	6.800251890667542	2.3591629971580982e-5	0.01078075406464483	3.015529651094541
training_status	Gm8221	-2.9425048467675663	-4.428955898290898	-6.7698292803963716	2.4603677071704e-5	0.01095494493205487	2.989566251843367
training_status	Twist1	3.282371719964009	-3.2342707680301386	6.726325157634562	2.6132227104390076e-5	0.01134465309169334	2.951338516375933
training_status	Mt3	-3.675266526443209	-3.819090512528215	-6.683707490955331	2.7728284856754527e-5	0.01174394308628152	2.81764424938208
training_status	Shroom4	2.6722473508112694	-4.117269171107642	6.640781882084785	2.9441484029333993e-5	0.01209007030575949	2.8179593851560583
training_status	Grin1	3.03070495854768	-4.025641198311733	6.628838732487411	2.9937980025779352e-5	0.01209007030575949	2.8175141646149644
training_status	Wnt5a	3.491763046301109	-3.435181772754729	6.57965194659843	3.207890030816921e-5	0.01256612395532553	2.7577496619208963
training_status	Rps27a-ps2	-3.232031933432485	-3.5321085616368992	-6.553467108553063	3.3284727027031786e-5	0.01256612395532553	2.7177126458147365
training_status	C1s2	-2.9992305339183485	-4.367323707097119	-6.553402836604485	3.328774557702129e-5	0.01256612395532553	2.708551550452418
training_status	Crb3	1.94380498017998	-4.198173642302683	6.535675580949502	3.413156102064822e-5	0.01261052249199056	2.6380555156343837
training_status	Siglech	3.4515159580271204	-2.781747823346324	6.51067084442175	3.536077651511119e-5	0.01279249758718553	2.6642273672078662
training_status	Gm18666	-1.8437417181213889	-4.838714674039615	-6.436557637737239	3.9289561784131824e-5	0.0138556336617887	2.502883131919025
training_status	Mpzl3	-2.8649768286503696	-2.056647339298027	-6.425837884243866	3.989528840134957e-5	0.0138556336617887	2.4001478980261677
training_status	Gm17083	2.735480187703952	-3.6757885147571496	6.401834326940637	4.12880113671419e-5	0.01405816308608665	2.505971883193726
training_status	Gfpt2	-4.127391999770584	-2.6909077787503017	-6.387435985610583	4.2148209009775745e-5	0.01407507018182222	2.4329312827283367
training_status	Gm14018	3.0500141016975486	-3.018219645756125	6.325181948367923	4.609330728638993e-5	0.01502788738062193	2.3462741791392414
training_status	Retn	-2.3431804424310054	-4.585161658117243	-6.315635331981874	4.673227287956145e-5	0.01502788738062193	2.3643335489889044
training_status	Pamr1	1.9457805219048276	-3.7000669820110232	6.273306278370108	4.968119551436354e-5	0.01568570836558041	2.2988496958675295
training_status	Gm614	-2.9462839899980304	-2.6000022818093673	-6.247633816193582	5.1565731429256224e-5	0.01598998082623275	2.2267880047981627
training_status	Sstr5	-2.188991709434662	-4.1275072334231035	-6.229435223136403	5.294764652555632e-5	0.01613045406870676	2.243774799488639
training_status	Lhx2	3.157661574031719	-2.164293992280304	6.12217801740631	6.19351786440283e-5	0.01854317891644054	2.0873036407608776
training_status	Mnd1	2.173916240243963	-2.1262502725528907	6.105402296536711	6.348178036168271e-5	0.01868408671153594	2.0347417493683597
training_status	Myl2	2.889528820258827	-3.8638608723066112	6.0404776780662495	6.986561671760108e-5	0.01990354528464957	2.014114863448226
training_status	Scn4b	-3.4855672038040875	-4.040231757191574	-6.039976853614077	6.991743520665843e-5	0.01990354528464957	2.011198710578901
training_status	Ogn	2.5018783155401825	-3.243442876096144	5.974926504916947	7.700800354015e-5	0.02141922623093441	1.9163807892285696
training_status	Or51a24	1.4465157572793514	-4.880521701135894	5.9688469120156595	7.770868140218071e-5	0.02141922623093441	1.8816027404608624
training_status	Ccno	-3.085653757716026	-4.087054997825583	-5.879433407323561	8.883421424988904e-5	0.02410322078827067	1.7857728765609495
training_status	Ebf1	3.0527171485136724	-3.439201458866833	5.863844185806499	9.094133785816104e-5	0.0242953281831841	1.7627162885261989
training_status	Npvf	2.673866510724381	-3.5907427676630603	5.829358504481725	9.57934308652226e-5	0.02520383222688773	1.714446411606966
training_status	Obsl1	2.649834561961569	-3.8935609899183032	5.750755501620863	1.0790942608053424e-4	0.02796786841624592	1.601839212745281
training_status	C2cd4c	-3.54838339030769	-3.2019603217193633	-5.713389299063218	1.142298576253268e-4	0.02917060996564412	1.533589699043752
training_status	Itga3	3.1865763219269314	-2.591180159748762	5.694867034013428	1.1750732307241714e-4	0.02957267630655831	1.5051549482877258
training_status	Ank3	2.651953398394634	-3.586176466356278	5.647094455310056	1.2642933918863094e-4	0.03095385075787167	1.4520128778125052
training_status	Mylpf	-3.346773907263911	-3.4402320665194868	-5.6464190014722	1.2656051850324726e-4	0.03095385075787167	1.441977819232484
training_status	Wfikkn2	-2.9860073940833995	-4.110455756789064	-5.6024452315518625	1.354188236699283e-4	0.03266038712539311	1.386388442858281
training_status	Gchfr	3.28193559383225	-2.9004966644849968	5.569097283047642	1.4257362970116765e-4	0.03391494629809283	1.3083762234879304
training_status	Pappa	3.1332541584633247	-3.80321201415018	5.559615938926086	1.4468016515506446e-4	0.03395096037726614	1.3156439584978656
training_status	Aldh3a1	-2.342428511340664	-4.585161658117243	-5.537747471893056	1.4966552165266678e-4	0.03465255711331411	1.2907381446115815
training_status	Ildr1	-2.594307445391503	-3.9713014735967582	-5.520815670168165	1.5365028385238918e-4	0.03510706814600971	1.268070582124451
training_status	Gm6963	2.1779927724833374	-4.330253850696113	5.410158204801376	1.8261944561760333e-4	0.04118424250843743	1.1053528368318526
training_status	Fam131b	2.1959344824399474	-4.432119885807483	5.3114011378507735	2.1336768567498956e-4	0.04711419151931891	0.95974456792686
training_status	Hhipl1	2.781590181788493	-3.765973450304558	5.3056523293091296	2.1531839468315073e-4	0.04711419151931891	0.943381697549091
training_status	Fam124a	-3.6951368260967903	-3.4380448131487698	-5.300584741177251	2.1705357452032897e-4	0.04711419151931891	0.94297532886171
training_status	Vxn	2.713759885698544	-4.238625877900203	5.290624178539556	2.2050733763382985e-4	0.0472729619507587	0.9223820885166952
genotype_x_training_status	Rps19-ps6	3.11962742386207	-4.514331255431437	11.868898692268782	8.382138389390609e-8	0.00145555833131767	7.08913914505507
genotype_x_training_status	Sorbs2	2.9351842250969056	-4.561036106684328	9.960260129722238	5.331404583959918e-7	0.00416929203267544	5.761301492108867
genotype_x_training_status	Tafa5	-2.408717068613798	-4.655828066996822	-9.675283439116006	7.202923177671373e-7	0.00416929203267544	5.4141468585934645
genotype_x_training_status	Klra9	-2.134782571914149	-4.717241866510673	-8.355397220492302	3.2012271468336023e-6	0.01115655840293646	4.288632314534526
genotype_x_training_status	2610318N02Rik	4.162709421977531	-2.3321463109574183	8.352492430761071	3.21236924933385e-6	0.01115655840293646	4.030193688583679
genotype_x_training_status	Rnase10	2.6737502398116386	-4.6163612843490345	7.735762361450737	6.85880475872713e-6	0.01985052410588277	3.794598825880823
genotype_x_training_status	BC023105	-1.7090768970855883	-4.8191079016220435	-6.85574493011033	2.185830313725631e-5	0.04438773408565468	2.753685048839859
genotype_x_training_status	Tcp10a	2.662722696740194	-4.615120931258536	6.717847918705961	2.644171329530036e-5	0.04438773408565468	2.701785243839355
genotype_x_training_status	Rnf186	1.6239791057887416	-4.880521701135894	6.664914457042926	2.846486392295003e-5	0.04438773408565468	2.5248972013848467
genotype_x_training_status	Ear2	1.866270810053483	-4.8191079016220435	6.580268672247881	3.2051067589507e-5	0.04438773408565468	2.4414344500617817
genotype_x_training_status	Kcnj4	1.8894888159398824	-4.8191079016220435	6.556907779410355	3.312356027787126e-5	0.04438773408565468	2.4076038521908263
genotype_x_training_status	Gnb3	-4.8042843828277295	-3.806127323418239	-6.520601112993049	3.486705285376506e-5	0.04438773408565468	1.869119808636432
genotype_x_training_status	Slc7a13	-3.1191449757319103	-2.1609294379458035	-6.49538634842246	3.6135328575540574e-5	0.04438773408565468	2.3173125257460123
genotype_x_training_status	Pkd1l1	-4.062756665379093	-4.219135206219013	-6.476076978373022	3.7139795688329194e-5	0.04438773408565468	2.029034629326098
genotype_x_training_status	Gm6963	-3.650713080826997	-4.330253850696113	-6.41401182055879	4.05750913673768e-5	0.04438773408565468	1.9054796306718185
genotype_x_training_status	Kctd19	-1.4644159336306468	-4.880521701135894	-6.366155060235986	4.345473535595333e-5	0.04438773408565468	2.190986450378259
genotype_x_training_status	Slc6a20a	-1.4644159336306468	-4.880521701135894	-6.366155060235986	4.345473535595333e-5	0.04438773408565468	2.190986450378259
